Country,ISO,BoundaryType,BoundaryName,License,License Source,Source,Year,GeoJSON
Andorra,AND,ADM0,Andorra,Public Domain,commons.wikimedia.org/wiki/File,upload.wikimedia.org/wikipedia/commons/c/c5/0_Andorra_parishes_all.svg,2007,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AND/ADM0/geoBoundaries-AND-ADM0.geojson
Andorra,AND,ADM1,Andorra,Public Domain,commons.wikimedia.org/wiki/File,upload.wikimedia.org/wikipedia/commons/c/c5/0_Andorra_parishes_all.svg,2007,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AND/ADM1/geoBoundaries-AND-ADM1.geojson
Angola,AGO,ADM0,Angola,Creative Commons Attribution-ShareAlike 2.0,osm-boundaries.com/Documentation,osm-boundaries.com/,2021,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM0/geoBoundaries-AGO-ADM0.geojson
Angola,AGO,ADM1,Angola,Public Domain,www.census.gov/geographies/mapping-files/time-series/demo/international-programs/subnationalpopulation.html,www.census.gov/geographies/mapping-files/time-series/demo/international-programs/subnationalpopulation.html,2021,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM1/geoBoundaries-AGO-ADM1.geojson
Angola,AGO,ADM2,Angola,Public Domain,commons.wikimedia.org/wiki/File,commons.wikimedia.org/wiki/File,2006,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM2/geoBoundaries-AGO-ADM2.geojson
Angola,AGO,ADM3,Angola,Creative Commons Attribution 3.0 License,www.citypopulation.de/termsofuse.html,www.citypopulation.de/en/angola/communes/admin/,2014,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM3/geoBoundaries-AGO-ADM3.geojson
Anguilla,AIA,ADM0,Anguilla,Creative Commons Attribution 4.0 International (CC BY 4.0),sentinel.esa.int/documents/247904/690755/Sentinel_Data_Legal_Notice,env1.arcgis.com/arcgis/rest/services/Sentinel2_10m_LandCover/ImageServer,2021,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AIA/ADM0/geoBoundaries-AIA-ADM0.geojson
Antarctica,ATA,ADM0,Antartica,Public Domain,www.naturalearthdata.com/about/terms-of-use/,www.naturalearthdata.com/downloads/10m-physical-vectors/10m-antarctic-ice-shelves/,2020,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ATA/ADM0/geoBoundaries-ATA-ADM0.geojson
Antigua and Barbuda,ATG,ADM0,Antigua and Barbuda,Public Domain,commons.wikimedia.org/wiki/File,commons.wikimedia.org/wiki/File,2009,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ATG/ADM0/geoBoundaries-ATG-ADM0.geojson
Antigua and Barbuda,ATG,ADM1,Antigua and Barbuda,Public Domain,commons.wikimedia.org/wiki/File,commons.wikimedia.org/wiki/File,2009,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ATG/ADM1/geoBoundaries-ATG-ADM1.geojson
Argentina,ARG,ADM0,Argentina,Creative Commons Attribution 2.5 Generic,commons.wikimedia.org/wiki/File,commons.wikimedia.org/wiki/File,2006,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ARG/ADM0/geoBoundaries-ARG-ADM0.geojson
Argentina,ARG,ADM1,Argentina,Creative Commons Attribution 2.5 Generic,commons.wikimedia.org/wiki/File,commons.wikimedia.org/wiki/File,2006,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ARG/ADM1/geoBoundaries-ARG-ADM1.geojson
Argentina,ARG,ADM2,Argentina,Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),data.humdata.org/dataset/argentina-administrative-level-0-boundaries,data.humdata.org/dataset/argentina-administrative-level-0-boundaries,2020,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ARG/ADM2/geoBoundaries-ARG-ADM2.geojson
Armenia,ARM,ADM0,Armenia,Creative Commons Attribution 2.5 Generic,commons.wikimedia.org/wiki/File,commons.wikimedia.org/wiki/File,2005,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ARM/ADM0/geoBoundaries-ARM-ADM0.geojson
Armenia,ARM,ADM1,Armenia,Creative Commons Attribution 2.5 Generic,commons.wikimedia.org/wiki/File,commons.wikimedia.org/wiki/File,2005,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ARM/ADM1/geoBoundaries-ARM-ADM1.geojson
Armenia,ARM,ADM2,Armenia,Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),data.humdata.org/dataset/armenia-administrative-boundaries,data.humdata.org/dataset/armenia-administrative-boundaries,2020,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ARM/ADM2/geoBoundaries-ARM-ADM2.geojson
Aruba,ABW,ADM0,Aruba,Creative Commons Attribution 4.0 (CC BY 4.0),sentinel.esa.int/documents/247904/690755/Sentinel_Data_Legal_Notice,livingatlas.arcgis.com/landcover/,2021,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ABW/ADM0/geoBoundaries-ABW-ADM0.geojson
Australia,AUS,ADM0,Australia,Creative Commons Attribution 4.0 International (CC BY 4.0),www.abs.gov.au/website-privacy-copyright-and-disclaimer#copyright-and-creative-commons,www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/digital-boundary-files/AUS_2021_AUST_SHP_GDA2020.zip,2021,https://github.com/wmgeolab/geoBoundaries/raw/bdfb316/releaseData/gbOpen/AUS/ADM0/geoBoundaries-AUS-ADM0.geojson
Australia,AUS,ADM1,Australia,Creative Commons Attribution 4.0 International (CC BY 4.0),www.abs.gov.au/website-privacy-copyright-and-disclaimer#copyright-and-creative-commons,www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/digital-boundary-files/STE_2021_AUST_SHP_GDA2020.zip,2021,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AUS/ADM1/geoBoundaries-AUS-ADM1.geojson
Australia,AUS,ADM2,Australia,Creative Commons Attribution 4.0 International (CC BY 4.0),www.abs.gov.au/website-privacy-copyright-and-disclaimer#copyright-and-creative-commons,www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/digital-boundary-files/LGA_2022_AUST_GDA94_SHP.zip,2022,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AUS/ADM2/geoBoundaries-AUS-ADM2.geojson
Austria,AUT,ADM0,Austria,Creative Commons Attribution-ShareAlike 2.0,www.data.gv.at/katalog/dataset/987d6260-1e87-4314-9039-ccae502819b6,www.data.gv.at/katalog/dataset/987d6260-1e87-4314-9039-ccae502819b6,2017,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AUT/ADM0/geoBoundaries-AUT-ADM0.geojson
Austria,AUT,ADM1,Austria,Creative Commons Attribution-ShareAlike 2.0,twitter.com/WMgeoLab/status/1253487894313959424,"www.bev.gv.at/portal/page?_pageid=713,2639317&_dad=portal&_schema=PORTAL",2017,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AUT/ADM1/geoBoundaries-AUT-ADM1.geojson
Austria,AUT,ADM2,Austria,Creative Commons Attribution-ShareAlike 2.0,twitter.com/WMgeoLab/status/1253487894313959424,"www.bev.gv.at/portal/page?_pageid=713,2639317&_dad=portal&_schema=PORTAL",2017,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AUT/ADM2/geoBoundaries-AUT-ADM2.geojson
Austria,AUT,ADM3,Austria,Creative Commons Attribution-ShareAlike 2.0,twitter.com/WMgeoLab/status/1253487894313959424,"www.bev.gv.at/portal/page?_pageid=713,2639317&_dad=portal&_schema=PORTAL",2017,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AUT/ADM3/geoBoundaries-AUT-ADM3.geojson
Austria,AUT,ADM4,Austria,Creative Commons Attribution-ShareAlike 2.0,twitter.com/WMgeoLab/status/1253487894313959424,"www.bev.gv.at/portal/page?_pageid=713,2639317&_dad=portal&_schema=PORTAL",2017,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AUT/ADM4/geoBoundaries-AUT-ADM4.geojson
Azerbaijan,AZE,ADM0,Azerbaijan,Creative Commons Attribution 4.0 (CC BY 4.0),sentinel.esa.int/documents/247904/690755/Sentinel_Data_Legal_Notice,env1.arcgis.com/arcgis/rest/services/Sentinel2_10m_LandCover/ImageServer,2021,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AZE/ADM0/geoBoundaries-AZE-ADM0.geojson
Azerbaijan,AZE,ADM1,Azerbaijan,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,www.openstreetmap.org/search?query=azerbaijan#map=7/40.195/47.886,2021,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AZE/ADM1/geoBoundaries-AZE-ADM1.geojson
Azerbaijan,AZE,ADM2,Azerbaijan,Creative Commons Attribution-ShareAlike 3.0 Unported,en.wikipedia.org/wiki/Administrative_divisions_of_Azerbaijan,en.wikipedia.org/wiki/Administrative_divisions_of_Azerbaijan#/media/File,2020,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AZE/ADM2/geoBoundaries-AZE-ADM2.geojson
Bahamas,BHS,ADM0,Bahamas,Public Domain,www.naturalearthdata.com/about/terms-of-use/,www.naturalearthdata.com/downloads/10m-cultural-vectors/,2021,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BHS/ADM0/geoBoundaries-BHS-ADM0.geojson
Bahamas,BHS,ADM1,Bahamas,Creative Commons Attribution 4.0 International (CC BY 4.0),httpshttps,//haiti.caribbeangeoportal.com/datasets/caribgeoportal,09-09-2017 to 24-08-2020,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BHS/ADM1/geoBoundaries-BHS-ADM1.geojson
Bahamas,BHS,ADM2,Bahamas,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,2017,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BHS/ADM2/geoBoundaries-BHS-ADM2.geojson
Bahrain,BHR,ADM0,Bahrain,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,2017,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BHR/ADM0/geoBoundaries-BHR-ADM0.geojson
Bahrain,BHR,ADM1,Bahrain,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,2017,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BHR/ADM1/geoBoundaries-BHR-ADM1.geojson
Bangladesh,BGD,ADM0,Bangladesh,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,commons.wikimedia.org/wiki/File,commons.wikimedia.org/wiki/File,2015,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BGD/ADM0/geoBoundaries-BGD-ADM0.geojson
Bangladesh,BGD,ADM1,Bangladesh,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,commons.wikimedia.org/wiki/File,commons.wikimedia.org/wiki/File,2015,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BGD/ADM1/geoBoundaries-BGD-ADM1.geojson
Bangladesh,BGD,ADM2,Bangladesh,Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),data.humdata.org/dataset/administrative-boundaries-of-bangladesh-as-of-2015,data.humdata.org/dataset/administrative-boundaries-of-bangladesh-as-of-2015,2020,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BGD/ADM2/geoBoundaries-BGD-ADM2.geojson
Bangladesh,BGD,ADM3,Bangladesh,Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),data.humdata.org/dataset/administrative-boundaries-of-bangladesh-as-of-2015,data.humdata.org/dataset/administrative-boundaries-of-bangladesh-as-of-2015,2020,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BGD/ADM3/geoBoundaries-BGD-ADM3.geojson
Bangladesh,BGD,ADM4,Bangladesh,Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),data.humdata.org/dataset/administrative-boundaries-of-bangladesh-as-of-2015,data.humdata.org/dataset/administrative-boundaries-of-bangladesh-as-of-2015,2020,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BGD/ADM4/geoBoundaries-BGD-ADM4.geojson
Barbados,BRB,ADM0,Barbados,Creative Commons Attribution 2.5 Generic,commons.wikimedia.org/wiki/File,commons.wikimedia.org/wiki/File,2005,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BRB/ADM0/geoBoundaries-BRB-ADM0.geojson
Barbados,BRB,ADM1,Barbados,Creative Commons Attribution 2.5 Generic,commons.wikimedia.org/wiki/File,commons.wikimedia.org/wiki/File,2005,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BRB/ADM1/geoBoundaries-BRB-ADM1.geojson
Belarus,BLR,ADM0,Belarus,Open Government Licence v3.0,www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"public.opendatasoft.com/explore/dataset/world-administrative-boundaries/information/?refine.color_code=BLR&dataChart=eyJxdWVyaWVzIjpbeyJjb25maWciOnsiZGF0YXNldCI6IndvcmxkLWFkbWluaXN0cmF0aXZlLWJvdW5kYXJpZXMiLCJvcHRpb25zIjp7ImxvY2F0aW9uIjoiNiw1My43ODE1OCwyNy45NTI3MyIsImJhc2VtYXAiOiJqYXdnLnN0cmVldHMiLCJyZWZpbmUuY29sb3JfY29kZSI6IkJMUiJ9fSwiY2hhcnRzIjpbeyJhbGlnbk1vbnRoIjp0cnVlLCJ0eXBlIjoiY29sdW1uIiwiZnVuYyI6IkNPVU5UIiwic2NpZW50aWZpY0Rpc3BsYXkiOnRydWUsImNvbG9yIjoiI0ZGNTE1QSJ9XSwieEF4aXMiOiJzdGF0dXMiLCJtYXhwb2ludHMiOjUwLCJzb3J0IjoiIn1dLCJ0aW1lc2NhbGUiOiIiLCJkaXNwbGF5TGVnZW5kIjp0cnVlLCJhbGlnbk1vbnRoIjp0cnVlfQ%3D%3D&location=6,53.78158,27.95273&basemap=jawg.streets",2019,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BLR/ADM0/geoBoundaries-BLR-ADM0.geojson
Belarus,BLR,ADM1,Belarus,Creative Commons Attribution 3.0 License,creativecommons.org/licenses/by/3.0/,sedac.ciesin.columbia.edu/data/collection/gpw-v3/maps/gallery/search?facets=region,2005,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BLR/ADM1/geoBoundaries-BLR-ADM1.geojson
Belarus,BLR,ADM2,Belarus,Creative Commons Attribution 3.0 License,creativecommons.org/licenses/by/3.0/,sedac.ciesin.columbia.edu/data/collection/gpw-v3/maps/gallery/search?facets=region,2005,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BLR/ADM2/geoBoundaries-BLR-ADM2.geojson
Belgium,BEL,ADM0,Belgium,Creative Commons Attribution 4.0 (CC BY 4.0),ec.europa.eu/info/legal-notice_en,ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,2022,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BEL/ADM0/geoBoundaries-BEL-ADM0.geojson
Belgium,BEL,ADM1,Belgium,Creative Commons Attribution 4.0 (CC BY 4.0),ec.europa.eu/info/legal-notice_en,ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,2022,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BEL/ADM1/geoBoundaries-BEL-ADM1.geojson
Belgium,BEL,ADM2,Belgium,Open Data Commons Open Database License 1.0,statbel.fgov.be/en/open-data,statbel.fgov.be/en/open-data/statistical-sectors,2015,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BEL/ADM2/geoBoundaries-BEL-ADM2.geojson
Belgium,BEL,ADM3,Belgium,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,www.geo.be/catalog/details/0202b8dd-1c7e-4331-8ba7-35e1fef4037a?l=en,data.gov.be/en/dataset/0202b8dd-1c7e-4331-8ba7-35e1fef4037a,2014,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BEL/ADM3/geoBoundaries-BEL-ADM3.geojson
Belgium,BEL,ADM4,Belgium,Creative Commons Attribution 4.0 International (CC BY 4.0),data.namur.be/pages/licence/,"data.namur.be/explore/dataset/communes-belges/information/?location=8,50.5124,4.4752&basemap=jawg.streets",2018,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BEL/ADM4/geoBoundaries-BEL-ADM4.geojson
Belize,BLZ,ADM0,Belize,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,2017,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BLZ/ADM0/geoBoundaries-BLZ-ADM0.geojson
Belize,BLZ,ADM1,Belize,Creative Commons Attribution 2.5 Generic,commons.wikimedia.org/wiki/File,commons.wikimedia.org/wiki/File,2006,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BLZ/ADM1/geoBoundaries-BLZ-ADM1.geojson
Belize,BLZ,ADM2,Belize,Public Domain,en.wikipedia.org/wiki/Public_domain,commons.wikimedia.org/wiki/File,2008,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BLZ/ADM2/geoBoundaries-BLZ-ADM2.geojson
Benin,BEN,ADM0,Benin,Public Domain,commons.wikimedia.org/wiki/File,commons.wikimedia.org/wiki/File,2012,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BEN/ADM0/geoBoundaries-BEN-ADM0.geojson
Benin,BEN,ADM1,Benin,Public Domain,commons.wikimedia.org/wiki/File,commons.wikimedia.org/wiki/File,2012,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BEN/ADM1/geoBoundaries-BEN-ADM1.geojson
Benin,BEN,ADM2,Benin,Public Domain,earthworks.stanford.edu/catalog/stanford-rq343zx0554,earthworks.stanford.edu/catalog/stanford-rq343zx0554,2007,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BEN/ADM2/geoBoundaries-BEN-ADM2.geojson
Benin,BEN,ADM3,Benin,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,umap.openstreetmap.fr/ja/map/trouee-bassila_546586#8/9.112/3.379,2021,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BEN/ADM3/geoBoundaries-BEN-ADM3.geojson
Bermuda,BMU,ADM0,Bermuda,Creative Commons Attribution 4.0 International (CC BY 4.0),sentinel.esa.int/documents/247904/690755/Sentinel_Data_Legal_Notice,env1.arcgis.com/arcgis/rest/services/Sentinel2_10m_LandCover/ImageServer,2021,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BMU/ADM0/geoBoundaries-BMU-ADM0.geojson
Bhutan,BTN,ADM0,Bhutan,Creative Commons Attribution 3.0 License,commons.wikimedia.org/wiki/File,commons.wikimedia.org/wiki/File,2010,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BTN/ADM0/geoBoundaries-BTN-ADM0.geojson
Bhutan,BTN,ADM1,Bhutan,Creative Commons Attribution 3.0 License,commons.wikimedia.org/wiki/File,commons.wikimedia.org/wiki/File,2010,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BTN/ADM1/geoBoundaries-BTN-ADM1.geojson
Bhutan,BTN,ADM2,Bhutan,Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),data.humdata.org/dataset/bhutan-administrative-boundaries-levels-0-2,data.humdata.org/dataset/bhutan-administrative-boundaries-levels-0-2,2020,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BTN/ADM2/geoBoundaries-BTN-ADM2.geojson
Bolivia (Plurinational State of),BOL,ADM0,Bolivia (Plurinational State of),Public Domain,geo.gob.bo/geonetwork/srv/spa/catalog.search#/metadata/aeeb85a9-23df-48d4-a4e5-dd19e8b206db,geo.gob.bo/geonetwork/srv/spa/catalog.search#/metadata/aeeb85a9-23df-48d4-a4e5-dd19e8b206db,2015,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BOL/ADM0/geoBoundaries-BOL-ADM0.geojson
Bolivia (Plurinational State of),BOL,ADM1,Bolivia (Plurinational State of),Public Domain,geo.gob.bo/geonetwork/srv/spa/catalog.search#/metadata/aeeb85a9-23df-48d4-a4e5-dd19e8b206db,geo.gob.bo/geonetwork/srv/spa/catalog.search#/metadata/aeeb85a9-23df-48d4-a4e5-dd19e8b206db,2015,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BOL/ADM1/geoBoundaries-BOL-ADM1.geojson
Bolivia (Plurinational State of),BOL,ADM2,Bolivia (Plurinational State of),Public Domain,geo.gob.bo/geonetwork/srv/spa/catalog.search#/metadata/aeeb85a9-23df-48d4-a4e5-dd19e8b206db,geo.gob.bo/geonetwork/srv/spa/catalog.search#/metadata/aeeb85a9-23df-48d4-a4e5-dd19e8b206db,2015,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BOL/ADM2/geoBoundaries-BOL-ADM2.geojson
Bolivia (Plurinational State of),BOL,ADM3,Bolivia (Plurinational State of),Public Domain,geo.gob.bo/geonetwork/srv/spa/catalog.search#/metadata/aeeb85a9-23df-48d4-a4e5-dd19e8b206db,geo.gob.bo/geonetwork/srv/spa/catalog.search#/metadata/aeeb85a9-23df-48d4-a4e5-dd19e8b206db,2015,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BOL/ADM3/geoBoundaries-BOL-ADM3.geojson
"Bonaire, Sint Eustatius and Saba",BES,ADM0,Bonaire Sint Eustatius and Saba,Creative Commons Attribution 4.0 (CC BY 4.0),sentinel.esa.int/documents/247904/690755/Sentinel_Data_Legal_Notice,env1.arcgis.com/arcgis/rest/services/Sentinel2_10m_LandCover/ImageServer,2021,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BES/ADM0/geoBoundaries-BES-ADM0.geojson
Bosnia and Herzegovina,BIH,ADM0,Bosnia and Herzegovina,Public Domain,commons.wikimedia.org/wiki/File,en.wikipedia.org/wiki/Political_divisions_of_Bosnia_and_Herzegovina,2013,https://github.com/wmgeolab/geoBoundaries/raw/f549eab/releaseData/gbOpen/BIH/ADM0/geoBoundaries-BIH-ADM0.geojson
